#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),
,xorg,is the graphical server group package.,
,xorg-xinit,starts the graphical server.,
,xorg-xset,display power manager,
,xf86-video-ati,video driver for amd ati,
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.,
,perl-file-mimeinfo,"Determine file type, includes mimeopen and mimetype",
,xrandr,is a UI for screen adjustment.,
,xcompmgr,is for transparency and removing screen-tearing.,
,xorg-xprop,is a tool for detecting window properties.,
,dosfstools,allows your computer to access dos-like filesystems.,
,libnotify,allows desktop notifications.,
,dunst,is a suckless notification system.,
,exfat-utils,allows management of FAT drives.,
A,sxiv-rifle,is a minimalist image viewer.,
,xwallpaper,sets the wallpaper.,
,ffmpeg,can record and splice video and audio on the command line.,
,gnome-keyring,serves as the system keyring.,
,neovim,a tidier vim with some useful features,
,mpv,is the patrician's choice video player.,
,man-db,lets you read man pages of programs.,
,cmus,a ncurses interface for music with multiple formats and a powerful tag editor.,
,noto-fonts,google noto fonts,
,noto-fonts-emoji,is an emoji font.,
,ttf-joypixels,is an emoji font.,
,ntfs-3g,allows accessing NTFS partitions.,
,udisks2,mount file system,
,pulseaudio-alsa,is the audio system.,
,pulsemixer,is an audio controller.,
,pamixer,is a command-line audio interface.,
,maim,can take quick screenshots at your request.,
,unclutter,hides an inactive mouse.,
,unrar,extracts rar's.,
,unzip,unzips zips.,
,elinks,is a terminal browser.,
,xcape,gives the special escape/super mappings of LARBS.,
,xclip,allows for copying and pasting from the command line.,
,xdotool,provides window action utilities on the command line.,
,xorg-xdpyinfo,aids with resolution determination and screen recording.,
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.,
,mediainfo,shows audio and video information.,
,atool,manages and gives information about archives.,
,fzf,is a fuzzy finder tool.,
,highlight,can highlight code output.,
,brightnessctl,enables changing screen brightness levels.,
,numlockx,Turns on the numlock key in X11.,
,python-pip,The PyPA recommended tool for installing Python packages,
A,task-spooler,queues commands or files for download.,
G,https://github.com/imrufbd/dwmblocks.git,serves as the modular status bar.,
G,https://github.com/imrufbd/dmenu.git,runs commands and provides a UI for selection.,
G,https://github.com/imrufbd/st.git,is my custom build of suckless's terminal emulator.,
G,https://github.com/imrufbd/dwm.git,is the window manager.,
G,https://github.com/imrufbd/slock.git,is the display locker.,
